source_reference,year,bags_shipped,bags_direct_export,bags_exporting_clients,bags_domestic_market,total_exporting_clients,total_shipped,total_direct_export,total_domestic_market,avg_price_physical,avg_price_futures,rows_per_year,rows,total_investment,type,total_count,ranking_category,best_position,total_bags_exported,total_bags_handled,region,count_per_region,indicator,average_value,ingestion_timestamp,content_hash,bags_received,bags_acquired,bags_physical_market,average_price_physical_market,bags_futures_market,average_price_futures_market,bags_transferred_to_roastery,category,rank,total_rank,value,total_value,financial_data,investment_amount
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,6078227.0000,4815175.0000,430366.0000,832686.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,430366.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,430366.0000,6078227.0000,4815175.0000,832686.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,2221.36,2043.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2021,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,105200000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,advanced_units,15.0000,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,hubs,12.0000,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,branches,10.0000,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,service_points,10.0000,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,processing_units,2.0000,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,,,,Best International Business Award,1.0000,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,,,,Largest Brazilian Cooperatives,4.0000,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,,,,Net Operating Revenue Growth,5.0000,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,,,,Net Revenue Growth,6.0000,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,,,,Net Margin,6.0000,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,,,,Activity Margin,6.0000,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,,,,Return on Equity,7.0000,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,,,,Southeast Region Ranking,21.0000,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,,,,500 Largest Agribusiness Companies,34.0000,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,,,,Valor 1000,129.0000,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,,,,,,980819.0000,3834356.0000,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,"Minas Gerais, Espírito Santo, interior of Rio de Janeiro, Greater Rio de Janeiro",1,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,Number of Companies in Minas Gerais Analyzed for Common Market Ranking,492.0,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,Number of Companies Analyzed for Sustainability Award,580.0,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,i-FEEX (FIA Employee Experience Index),73.2,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,430366.0000,6078227.0000,4815175.0000,,2221.36,2043.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,6078227.0000,4815175.0000,430366.0000,832686.0000,,,,,,,,,,,,,,,,,,,,2026-05-23T22:28:32.968000,c7643859f1217128d492be98359fb6ee4224b6e2ea4eba8cda4414e9a38369e4,6075817.0000,4762434.0000,3834740.0000,2221.3600,927694.0000,2043.6200,304504.0000,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,6075817.0000,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,4762434.0000,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3834740.0000,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,"Minas Gerais, Espírito Santo, interior of Rio de Janeiro, Greater Rio de Janeiro",,,,2026-05-23T22:28:32.932000,ae1c2915712ffb7c854c0f55cf066fbb2b3296a65dda139d604063018ca3fafd,,,,,,,,Food - Ground Coffee,4.0000,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0000,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food - Ground Coffee,,4.0000,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,"Minas Gerais, Espírito Santo, interior of Rio de Janeiro, Greater Rio de Janeiro",,,,,,,,,,,,,,,4.0000,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,Number of Companies in Minas Gerais Analyzed for Common Market Ranking,,2026-05-23T22:28:32.929000,9f603bc0cad2bb69866cf4cf59bd1529ad5b47733debdaa48a44bb4b248338d5,,,,,,,,,,,492.0000,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,Number of Companies Analyzed for Sustainability Award,,2026-05-23T22:28:32.929000,d67d733cc678d6739ff2d0970a9f5cb8a59574b8862ab5092c6b27720bff9f9d,,,,,,,,,,,580.0000,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,i-FEEX (FIA Employee Experience Index),,2026-05-23T22:28:32.929000,fbc5a36fb5772d456e897284449a35cbe982203a3b51f19dc6215dadb2db2a95,,,,,,,,,,,73.2000,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0000,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0000,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2000,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,Number of Companies Analyzed for Sustainability Award,,,,,,,,,,,,,,,580.0000,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,Number of Companies in Minas Gerais Analyzed for Common Market Ranking,,,,,,,,,,,,,,,492.0000,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,i-FEEX (FIA Employee Experience Index),,,,,,,,,,,,,,,73.2000,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2021,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23T22:28:32.925000,b1335ab83b87b5d1be506a3dd160ec33c2c372490e942a157334e6ac61286098,,,,,,,,,,,,,120000000,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23T22:28:32.968000,66c740d9f124aa9f4b4ad19f1728894a51804b211c683caa0ccfec6a318e4c0f,,,,,,,,,,,,,,105200000.0000
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105200000.0000
